Quarter,Household total liabilities,Household net worth,Household dwellings,Household debt to income,Household debt to assets,Household financial assets to income
2015Q1,1974.065,7790.882,5247.4,169.589716363237,20.2158291284121,358.613482196243
2015Q2,2016.464,7990.144,5469.8,171.855139681135,20.1513240050974,356.944171011061
2015Q3,2038.532,8110.767,5596.1,172.430062669329,20.085446295355,355.190964248285
2015Q4,2064.339,8256.151,5638.4,174.050279117649,20.002335160443,364.475123075665
2016Q1,2090.471,8238.744,5643.1,175.538694202398,20.2384305099662,362.957001030323
2016Q2,2132.393,8516.72,5775.2,178.396500994302,20.0241372215695,376.999207737568
2016Q3,2162.463,8741.141,5895.4,180.169066045902,19.8325526128792,386.397731788866
2016Q4,2188.839,9065.969,6147.7,181.128108118843,19.4480350086825,391.775897680331
2017Q1,2218.77,9288.047,6302.4,182.241182891701,19.2822220080497,396.702480757558
2017Q2,2259.943,9434.482,6466.3,184.510748430394,19.3249603977964,396.105990219051
2017Q3,2286.743,9454.405,6474.0,185.574749908501,19.4763152632094,396.70943129189
2017Q4,2319.797,9729.758,6634.9,186.492050884628,19.2521383569767,404.631115384368
2018Q1,2350.58,9707.394,6644.6,187.218445148177,19.4939879618251,400.562472521521
2018Q2,2381.784,9788.01,6610.1,187.740727194764,19.5712762270257,407.698698465147
2018Q3,2397.829,9815.241,6550.1,186.856970971203,19.6333026831092,410.839568187787
2018Q4,2428.856,9599.691,6480.1,187.350579247668,20.1924305570739,397.543625807318
2019Q1,2449.006,9651.474,6352.2,187.053114858275,20.2389161421696,408.627183203909
2019Q2,2464.311,9967.079,6413.4,186.839840690614,19.8232940966376,425.772000761216
2019Q3,2470.59,10302.169,6633.4,185.376742650479,19.3426494620309,430.163347689722
2019Q4,2494.314,10587.438,6847.5,185.997369221683,19.0671249539053,434.231436906062
2020Q1,2516.118,10335.997,6949.6,186.149802132632,19.5774625421575,405.886304500456
2020Q2,2522.308,10568.355,6922.4,183.835929340407,19.2679927670585,418.766977419804
2020Q3,2523.94,10912.077,7140.6,180.829341476101,18.7848824543762,420.210165372507
2020Q4,2544.977,11534.742,7511.6,180.096056816043,18.0754814780039,433.72185840996
2021Q1,2572.448,12072.514,7960.9,179.578148614829,17.5654125971785,435.286824735863
2021Q2,2626.008,12625.072,8378.5,182.257501441884,17.2185051812724,445.146975027467
2021Q3,2678.45,13336.861,8961.9,183.648939773542,16.7243083821476,451.435210516284
2021Q4,2734.61,14034.772,9528.5,184.859003782207,16.3071602757931,457.027300166633
2022Q1,2775.742,14173.918,9701.7,185.005805296617,16.3763874909585,450.391041047646
2022Q2,2825.247,13742.411,9637.5,184.993766418808,17.0527844068244,420.98006039764
2022Q3,2854.557,13503.706,9350.1,184.249960465634,17.4502451757867,419.365255585641
2022Q4,2897.758,13707.233,9389.7,183.797103526751,17.4511265919988,424.626492207633
2023Q1,2931.696,13874.763,9419.0,183.247492274305,17.4438648855181,428.686019241732
2023Q2,2975.997,14198.053,9703.9,183.000885489048,17.3284519376618,426.347603645263
2023Q3,3002.266,14428.78,9850.6,182.456884554284,17.223670914528,427.662801905357
2023Q4,3037.796,14927.167,10149.7,181.417275810998,16.9095589008449,433.941462424156
2024Q1,3082.196,15293.677,10315.5,180.625538780158,16.7730588908619,439.912599676161
2024Q2,3136.738,15560.217,10568.2,180.733480836157,16.7767318261182,436.219721588421
2024Q3,3166.088,15869.144,10619.4,179.064715447154,16.6327786285977,444.201173559562
2024Q4,3210.387,16247.761,10873.9,178.426699642912,16.4989340198255,445.665504161398
2025Q1,3250.322,16352.988,10960.0,177.11623395554,16.580475440117,439.989973489689
2025Q2,3308.593,16795.114,11154.1,177.155008550963,16.4576264467046,448.553778968594
2025Q3,3337.183,17344.489,11457.8,176.093306921665,16.1359439410895,456.333259811242
